atl,1988,5-11-0,5.7-10.3
atl,1989,3-13-0,4.1-11.9
atl,1990,5-11-0,7.5-8.5
atl,1991,10-6-0,8.6-7.4
atl,1992,6-10-0,5.8-10.2
atl,1993,6-10-0,6.2-9.8
atl,1994,7-9-0,6.2-9.8
atl,1995,9-7-0,8.3-7.7
atl,1996,3-13-0,4.5-11.5
atl,1997,7-9-0,6.9-9.1
atl,1998,14-2-0,11.7-4.3
atl,1999,5-11-0,5.4-10.6
atl,2000,4-12-0,3.8-12.2
atl,2001,7-9-0,5.6-10.4
atl,2002,9-6-1,10.3-5.7
atl,2003,5-11-0,4.9-11.1
atl,2004,11-5-0,8.1-7.9
atl,2005,8-8-0,8.3-7.7
atl,2006,7-9-0,6.9-9.1
atl,2007,4-12-0,4.0-12.0
atl,2008,11-5-0,9.7-6.3
atl,2009,9-7-0,9.0-7.0
atl,2010,13-3-0,11.2-4.8
atl,2011,10-6-0,9.3-6.7
atl,2012,13-3-0,11.0-5.0
atl,2013,4-12-0,5.9-10.1
atl,2014,6-10-0,7.1-8.9
buf,1988,12-4-0,11.0-5.0
buf,1989,9-7-0,10.3-5.7
buf,1990,13-3-0,12.2-3.8
buf,1991,13-3-0,11.3-4.7
buf,1992,11-5-0,10.7-5.3
buf,1993,12-4-0,10.8-5.2
buf,1994,7-9-0,7.6-8.4
buf,1995,10-6-0,8.4-7.6
buf,1996,10-6-0,9.7-6.3
buf,1997,6-10-0,4.7-11.3
buf,1998,10-6-0,9.7-6.3
buf,1999,11-5-0,11.0-5.0
buf,2000,8-8-0,7.0-9.0
buf,2001,3-13-0,4.0-12.0
buf,2002,8-8-0,7.6-8.4
buf,2003,6-10-0,6.7-9.3
buf,2004,9-7-0,11.0-5.0
buf,2005,5-11-0,5.2-10.8
buf,2006,7-9-0,7.7-8.3
buf,2007,7-9-0,4.9-11.1
buf,2008,7-9-0,7.8-8.2
buf,2009,6-10-0,5.8-10.2
buf,2010,4-12-0,4.4-11.6
buf,2011,6-10-0,6.6-9.4
buf,2012,6-10-0,5.8-10.2
buf,2013,6-10-0,6.7-9.3
buf,2014,9-7-0,9.6-6.4
car,1995,7-9-0,6.9-9.1
car,1996,12-4-0,12.4-3.6
car,1997,7-9-0,6.4-9.6
car,1998,4-12-0,6.1-9.9
car,1999,8-8-0,8.9-7.1
car,2000,7-9-0,8.0-8.0
car,2001,1-15-0,3.9-12.1
car,2002,7-9-0,6.5-9.5
car,2003,11-5-0,8.6-7.4
car,2004,7-9-0,8.4-7.6
car,2005,11-5-0,11.6-4.4
car,2006,8-8-0,6.9-9.1
car,2007,7-9-0,5.6-10.4
car,2008,12-4-0,10.1-5.9
car,2009,8-8-0,8.2-7.8
car,2010,2-14-0,2.4-13.6
car,2011,6-10-0,7.5-8.5
car,2012,7-9-0,7.8-8.2
car,2013,12-4-0,11.7-4.3
car,2014,7-8-1,7.1-8.9
chi,1988,12-4-0,11.3-4.7
chi,1989,6-10-0,7.5-8.5
chi,1990,11-5-0,10.0-6.0
chi,1991,11-5-0,9.0-7.0
chi,1992,5-11-0,6.1-9.9
chi,1993,7-9-0,8.2-7.8
chi,1994,9-7-0,6.8-9.2
chi,1995,9-7-0,8.8-7.2
chi,1996,7-9-0,7.3-8.7
chi,1997,4-12-0,4.0-12.0
chi,1998,4-12-0,5.4-10.6
chi,1999,6-10-0,5.9-10.1
chi,2000,5-11-0,3.8-12.2
chi,2001,13-3-0,12.3-3.7
chi,2002,4-12-0,5.3-10.7
chi,2003,7-9-0,6.1-9.9
chi,2004,5-11-0,4.8-11.2
chi,2005,11-5-0,10.3-5.7
chi,2006,13-3-0,12.4-3.6
chi,2007,7-9-0,7.6-8.4
chi,2008,9-7-0,8.7-7.3
chi,2009,7-9-0,6.7-9.3
chi,2010,11-5-0,9.5-6.5
chi,2011,8-8-0,8.3-7.7
chi,2012,10-6-0,10.8-5.2
chi,2013,8-8-0,7.3-8.7
chi,2014,5-11-0,5.1-10.9
cin,1988,12-4-0,10.8-5.2
cin,1989,8-8-0,11.1-4.9
cin,1990,9-7-0,8.2-7.8
cin,1991,3-13-0,3.7-12.3
cin,1992,5-11-0,5.4-10.6
cin,1993,3-13-0,3.5-12.5
cin,1994,3-13-0,4.6-11.4
cin,1995,7-9-0,7.3-8.7
cin,1996,8-8-0,8.1-7.9
cin,1997,7-9-0,6.8-9.2
cin,1998,3-13-0,3.6-12.4
cin,1999,4-12-0,3.8-12.2
cin,2000,4-12-0,2.8-13.2
cin,2001,6-10-0,5.2-10.8
cin,2002,2-14-0,3.8-12.2
cin,2003,8-8-0,7.0-9.0
cin,2004,8-8-0,8.1-7.9
cin,2005,11-5-0,9.7-6.3
