1980,Detroit Pistons|Phoenix Suns
1980,Portland Trail Blazers|Cleveland Cavaliers
1980,Boston Celtics|Detroit Pistons
1980,Los Angeles Lakers|Utah Jazz
1980,San Antonio Spurs|Kansas City Kings
1980,Detroit Pistons|Portland Trail Blazers
1980,San Diego Clippers|Cleveland Cavaliers
1980,New Jersey Nets|Utah Jazz
1980,Philadelphia 76ers|San Diego Clippers
1980,Cleveland Cavaliers|Los Angeles Lakers
1980,Los Angeles Lakers|San Antonio Spurs
1980,Milwaukee Bucks|Kansas City Kings
1980,Portland Trail Blazers|Indiana Pacers
1980,Denver Nuggets|Utah Jazz
1980,Utah Jazz|Atlanta Hawks
1980,Houston Rockets|New Jersey Nets
1980,Los Angeles Lakers|Cleveland Cavaliers
1980,Los Angeles Lakers|Utah Jazz
1980,Cleveland Cavaliers|San Diego Clippers
1980,Denver Nuggets|Utah Jazz
1980,Washington Bullets|San Diego Clippers
1980,Atlanta Hawks|Utah Jazz
1980,Indiana Pacers|Kansas City Kings
1980,New York Knicks|Washington Bullets
1980,Washington Bullets|Indiana Pacers
1980,Houston Rockets|San Antonio Spurs
1980,Atlanta Hawks|Detroit Pistons
1980,Indiana Pacers|Denver Nuggets
1980,Detroit Pistons|Milwaukee Bucks
1980,Washington Bullets|New Jersey Nets
1980,Portland Trail Blazers|Philadelphia 76ers
1980,Portland Trail Blazers|New Jersey Nets
1980,Chicago Bulls|Los Angeles Lakers
1980,Los Angeles Lakers|Cleveland Cavaliers
1980,New Jersey Nets|Phoenix Suns
1980,Seattle SuperSonics|San Diego Clippers
1980,Seattle SuperSonics|Phoenix Suns
1980,Golden State Warriors|Boston Celtics
1980,Dallas Mavericks|Phoenix Suns
1980,Chicago Bulls|Denver Nuggets
1980,Portland Trail Blazers|Chicago Bulls
1980,Golden State Warriors|Washington Bullets
1980,Chicago Bulls|Houston Rockets
1981,Portland Trail Blazers|Denver Nuggets
1981,San Diego Clippers|Golden State Warriors
1981,Golden State Warriors|Utah Jazz
1981,Milwaukee Bucks|Indiana Pacers
1981,Dallas Mavericks|Utah Jazz
1981,Dallas Mavericks|Cleveland Cavaliers
1981,New Jersey Nets|Cleveland Cavaliers
1981,Cleveland Cavaliers|New York Knicks|Kansas City Kings
1981,Washington Bullets|San Antonio Spurs
1981,Los Angeles Lakers|Detroit Pistons
1981,Houston Rockets|Detroit Pistons
1981,Portland Trail Blazers|Los Angeles Lakers
1981,Dallas Mavericks|Cleveland Cavaliers
1981,Cleveland Cavaliers|Denver Nuggets
1981,Golden State Warriors|Seattle SuperSonics
1981,New Jersey Nets|Los Angeles Lakers
1981,San Antonio Spurs|Seattle SuperSonics
1981,Phoenix Suns|Indiana Pacers
1981,Seattle SuperSonics|San Antonio Spurs
1981,Atlanta Hawks|Seattle SuperSonics
1981,Dallas Mavericks|Denver Nuggets
1981,Portland Trail Blazers|San Antonio Spurs
1981,Utah Jazz|Denver Nuggets
1981,Atlanta Hawks|Washington Bullets
1981,Dallas Mavericks|Cleveland Cavaliers
1981,Cleveland Cavaliers|New York Knicks
1981,Portland Trail Blazers|Indiana Pacers
1981,Kansas City Kings|New Jersey Nets
1981,Indiana Pacers|Phoenix Suns
1981,Portland Trail Blazers|Golden State Warriors
1981,Washington Bullets|Houston Rockets
1981,Atlanta Hawks|Chicago Bulls
1981,Indiana Pacers|Chicago Bulls
1981,New York Knicks|New Jersey Nets
1981,San Antonio Spurs|Cleveland Cavaliers
1982,New York Knicks|Portland Trail Blazers
1982,New Jersey Nets|Atlanta Hawks
1982,Utah Jazz|Dallas Mavericks
1982,Detroit Pistons|Kansas City Kings
1982,Portland Trail Blazers|Milwaukee Bucks
1982,Phoenix Suns|Chicago Bulls
1982,Utah Jazz|Detroit Pistons
1982,Los Angeles Lakers|Indiana Pacers
1982,Golden State Warriors|Washington Bullets
1982,Cleveland Cavaliers|San Antonio Spurs
1982,New Jersey Nets|Kansas City Kings
1982,Seattle SuperSonics|Detroit Pistons
1982,Seattle SuperSonics|New Jersey Nets
1982,San Antonio Spurs|Cleveland Cavaliers
1982,New Jersey Nets|Los Angeles Lakers
1982,Atlanta Hawks|San Diego Clippers
1982,Cleveland Cavaliers|Detroit Pistons
1982,Seattle SuperSonics|San Diego Clippers
1982,Kansas City Kings|San Antonio Spurs
1982,Kansas City Kings|Cleveland Cavaliers
1982,Denver Nuggets|Seattle SuperSonics
1982,Golden State Warriors|New Jersey Nets
1982,Phoenix Suns|Denver Nuggets
1982,Chicago Bulls|Golden State Warriors
1982,Detroit Pistons|Portland Trail Blazers
1982,San Diego Clippers|Houston Rockets
1982,Dallas Mavericks|Portland Trail Blazers
1982,Milwaukee Bucks|Dallas Mavericks
1982,Kansas City Kings|New Jersey Nets
1982,Kansas City Kings|Atlanta Hawks
1983,New York Knicks|Phoenix Suns
1983,San Antonio Spurs|Chicago Bulls
1983,Philadelphia 76ers|New Jersey Nets
1983,Atlanta Hawks|Utah Jazz
1983,Boston Celtics|Milwaukee Bucks
1983,Houston Rockets|Philadelphia 76ers
1983,Indiana Pacers|Detroit Pistons
1983,San Antonio Spurs|Atlanta Hawks
1983,New Jersey Nets|New York Knicks
1983,Seattle SuperSonics|Houston Rockets
1983,Detroit Pistons|Cleveland Cavaliers
1983,Milwaukee Bucks|San Diego Clippers
1983,Golden State Warriors|New York Knicks
1983,Indiana Pacers|New York Knicks
1983,Cleveland Cavaliers|Indiana Pacers
1983,Philadelphia 76ers|San Diego Clippers
1983,New Jersey Nets|Houston Rockets
1983,New Jersey Nets|Milwaukee Bucks
1983,Cleveland Cavaliers|Golden State Warriors
1983,Indiana Pacers|Atlanta Hawks
1983,Indiana Pacers|Portland Trail Blazers
1983,Cleveland Cavaliers|Boston Celtics
1983,Chicago Bulls|San Antonio Spurs
1983,New Jersey Nets|Golden State Warriors
1983,Phoenix Suns|Cleveland Cavaliers
1983,Denver Nuggets|Utah Jazz
1983,Detroit Pistons|San Antonio Spurs
1983,New York Knicks|Atlanta Hawks
1983,Atlanta Hawks|Seattle SuperSonics|Detroit Pistons
1983,Golden State Warriors|Atlanta Hawks
1983,Indiana Pacers|Philadelphia 76ers
1983,Chicago Bulls|Los Angeles Lakers
1983,San Antonio Spurs|Chicago Bulls
1983,New Jersey Nets|New York Knicks
1983,Phoenix Suns|Boston Celtics
1983,Seattle SuperSonics|Cleveland Cavaliers
